Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
217,Juan Freytes,arARG,DF,Fluminense,25,2000,32.5,24,15,17,6,1,16,33,48.5,17,29,17,12,16,40,185,5,Matches
218,Lucas Freitas,brBRA,DF,Vasco da Gama,24,2001,17.2,16,9,9,6,1,12,18,66.7,6,26,21,5,19,35,86,3,Matches
219,Luan Freitas,brBRA,DF,Juventude,24,2001,12.5,25,16,13,10,2,12,19,63.2,7,18,13,5,10,35,47,1,Matches
220,Alan Franco,arARG,DF,São Paulo,28,1996,25.4,34,23,21,13,0,21,33,63.6,12,34,18,16,25,59,129,3,Matches
221,André Filipinho,brBRA,DF,Juventude,28,1997,3.4,5,1,3,1,1,1,3,33.3,2,3,1,2,5,10,19,0,Matches
222,Nahuel Ferraresi,veVEN,DF,São Paulo,26,1998,20.0,74,51,37,31,6,43,71,60.6,28,21,8,13,28,102,84,0,Matches
223,Fagner,brBRA,DF,Cruzeiro,35,1989,9.2,20,10,13,7,0,10,17,58.8,7,11,1,10,12,32,38,1,Matches
224,Ewerton,brBRA,DF,Juventude,24,2000,12.8,23,16,15,6,2,13,31,41.9,18,5,1,4,21,44,42,1,Matches
225,Lucas Esteves,brBRA,DF,Grêmio,24,2000,7.5,12,10,5,6,1,4,5,80.0,1,9,1,8,10,22,22,1,Matches
226,Gonzalo Escobar,arARG,DF,Santos,27,1997,22.3,79,57,48,25,6,48,64,75.0,16,30,8,22,39,118,92,2,Matches
227,Emerson,brBRA,DF,Flamengo,26,1999,13.9,29,18,16,10,3,16,25,64.0,9,11,1,10,20,49,33,2,Matches
228,Rodrigo Ely,brBRA,DF,Grêmio,31,1993,0.4,1,1,1,0,0,0,0,,0,1,1,0,1,2,0,0,Matches
229,EDU,brBRA,DF,Vitória,24,2000,11.9,33,19,26,6,1,17,22,77.3,5,11,6,5,11,44,96,0,Matches
230,Eder,brBRA,DF,Ceará,29,1995,3.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,20,0,Matches
231,David Duarte,brBRA,DF,Bahia,30,1995,24.5,19,11,13,6,0,7,13,53.8,6,25,22,3,14,33,162,0,Matches
232,Alexis Duarte,pyPAR,DF,Santos,24,2000,4.5,9,3,5,4,0,4,5,80.0,1,5,2,3,3,12,25,0,Matches
233,Mailton dos Santos,brBRA,DF,São Paulo,26,1998,4.3,4,2,2,2,0,4,7,57.1,3,3,1,2,4,8,10,0,Matches
234,Enzo Díaz,arARG,DF,São Paulo,29,1995,20.9,77,49,46,24,7,39,66,59.1,27,25,7,18,19,96,64,0,Matches
235,Danilo,brBRA,DF,Flamengo,33,1991,15.7,10,8,6,4,0,5,12,41.7,7,10,6,4,14,24,59,0,Matches
236,Lucas Cunha,brBRA,DF,Sport Recife,28,1997,4.8,5,2,3,2,0,5,10,50.0,5,6,5,1,7,12,20,0,Matches
237,Jair Cunha,brBRA,DF,Botafogo (RJ),19,2005,11.0,14,11,10,4,0,8,12,66.7,4,9,6,3,11,25,63,2,Matches
